Fecha	Hora	Anterior	Nuevo	Ventas Brutas	Impuesto	Exoneración	Contador	
21/ABR/2013	01:46	3,389,130.61	3,393,500.16	4,369.55	305.90	0.00	1424 	
22/ABR/2013	17:48	3,393,500.16	3,396,245.70	2,745.54	192.18	0.00	1425 	
23/ABR/2013	00:03	3,396,245.70	3,397,035.73	790.03	55.27	0.00	1426 	
24/ABR/2013	00:13	3,397,035.73	3,399,007.34	1,971.61	138.00	0.00	1427 	
25/ABR/2013	00:05	3,399,007.34	3,401,447.05	2,439.71	170.83	0.00	1428 	
26/ABR/2013	00:38	3,401,447.05	3,403,448.53	2,001.48	139.99	0.00	1429 	
27/ABR/2013	01:44	3,403,448.53	3,409,354.07	5,905.54	413.55	0.00	1430 	
28/ABR/2013	01:22	3,409,354.07	3,413,382.09	4,028.02	281.96	0.00	1431 	
29/ABR/2013	09:03	3,413,382.09	3,416,442.99	3,060.90	214.28	0.00	1432 	
01/MAY/2013	00:05	3,416,442.99	3,417,893.71	1,450.72	101.56	0.00	1433 	
02/MAY/2013	00:10	3,417,893.71	3,420,827.71	2,934.00	205.42	0.00	1434 	
03/MAY/2013	00:35	3,420,827.71	3,422,383.85	1,556.14	108.81	0.00	1435 	
04/MAY/2013	10:31	3,422,383.85	3,426,391.34	4,007.49	280.45	0.00	1436 	
05/MAY/2013	01:29	3,426,391.34	3,431,383.15	4,991.81	349.40	0.00	1437 	
06/MAY/2013	18:03	3,431,383.15	3,434,809.30	3,426.15	239.83	0.00	1438 	
07/MAY/2013	11:41	3,434,809.30	3,435,725.12	915.82	64.09	0.00	1439 	
08/MAY/2013	00:08	3,435,725.12	3,437,646.68	1,921.56	134.54	0.00	1440 	
09/MAY/2013	00:02	3,437,646.68	3,439,796.56	2,149.88	150.56	0.00	1441 	
10/MAY/2013	00:31	3,439,796.56	3,441,966.05	2,169.49	151.58	0.00	1442 	
11/MAY/2013	01:16	3,441,966.05	3,446,034.42	4,068.37	284.81	0.00	1443 	
12/MAY/2013	01:18	3,446,034.42	3,450,376.55	4,342.13	304.02	0.00	1444 	
13/MAY/2013	17:57	3,450,376.55	3,453,421.77	3,045.22	213.22	0.00	1445 	
14/MAY/2013	00:04	3,453,421.77	3,454,022.04	600.27	42.05	0.00	1446 	
15/MAY/2013	00:08	3,454,022.04	3,455,993.48	1,971.44	137.99	0.00	1447 	
16/MAY/2013	00:01	3,455,993.48	3,458,549.37	2,555.89	178.95	0.00	1448 	
16/MAY/2013	00:09	3,458,549.37	3,458,549.37	0.00	0.00	0.00	1449 	
16/MAY/2013	11:45	3,458,549.37	3,458,549.37	0.00	0.00	0.00	1450 	
17/MAY/2013	00:10	3,458,549.37	3,460,079.36	1,529.99	107.13	0.00	1451 	
18/MAY/2013	01:09	3,460,079.36	3,465,195.95	5,116.59	357.73	0.00	1452 	
19/MAY/2013	01:16	3,465,195.95	3,470,673.13	5,477.18	383.38	0.00	1453 	
19/MAY/2013	22:01	3,470,673.13	3,472,880.78	2,207.65	154.48	0.00	1454 	
20/MAY/2013	10:04	3,472,880.78	3,472,880.78	0.00	0.00	0.00	1455 	
21/MAY/2013	12:30	3,472,880.78	3,473,922.62	1,041.84	72.92	0.00	1456 	
22/MAY/2013	18:02	3,473,922.62	3,476,516.50	2,593.88	181.83	0.00	1457 	
23/MAY/2013	00:05	3,476,516.50	3,477,355.84	839.34	58.78	0.00	1458 	
24/MAY/2013	00:21	3,477,355.84	3,479,801.41	2,445.57	171.20	0.00	1459 	
25/MAY/2013	01:41	3,479,801.41	3,484,123.90	4,322.49	302.54	0.00	1460 	
26/MAY/2013	01:09	3,484,123.90	3,488,223.27	4,099.37	286.88	0.00	1461 	
27/MAY/2013	10:58	3,488,223.27	3,491,040.14	2,816.87	197.20	0.00	1462 	
28/MAY/2013	09:08	3,491,040.14	3,492,205.56	1,165.42	81.51	0.00	1463 	
29/MAY/2013	09:18	3,492,205.56	3,493,924.62	1,719.06	120.40	0.00	1464 	
30/MAY/2013	18:30	3,493,924.62	3,496,608.10	2,683.48	187.91	0.00	1465 	
01/JUN/2013	02:02	3,499,199.30	3,506,662.97	7,463.67	341.11	0.00	1466 	
02/JUN/2013	01:25	3,506,662.97	3,512,124.46	5,461.49	382.17	0.00	1467 	
03/JUN/2013	08:24	3,512,124.46	3,515,277.38	3,152.92	220.86	0.00	1468 	
04/JUN/2013	00:07	3,515,277.38	3,516,931.44	1,654.06	115.76	0.00	1469 	
05/JUN/2013	08:51	3,516,931.44	3,518,868.94	1,937.50	135.68	0.00	1470 	
06/JUN/2013	12:05	3,518,868.94	3,520,139.45	1,270.51	88.96	0.00	1471 	
07/JUN/2013	00:48	3,520,139.45	3,521,845.75	1,706.30	119.36	0.00	1472 	
08/JUN/2013	01:49	3,521,845.75	3,531,586.56	9,740.81	681.97	0.00	1473 	
09/JUN/2013	00:54	3,531,586.56	3,532,695.88	1,109.32	77.62	0.00	1474 	
10/JUN/2013	12:15	3,532,695.88	3,535,213.47	2,517.59	176.26	0.00	1475 	
11/JUN/2013	08:06	3,535,213.47	3,536,618.00	1,404.53	98.27	0.00	1476 	
12/JUN/2013	00:19	3,536,618.00	3,540,579.05	3,961.05	277.10	0.00	1477 	
13/JUN/2013	00:10	3,540,579.05	3,542,321.48	1,742.43	121.97	0.00	1478 	
14/JUN/2013	00:33	3,542,321.48	3,544,364.44	2,042.96	143.00	0.00	1479 	
15/JUN/2013	01:36	3,544,364.44	3,547,428.33	3,063.89	214.51	0.00	1480 	
16/JUN/2013	01:31	3,547,428.33	3,553,308.23	5,879.90	411.60	0.00	1481 	
17/JUN/2013	18:11	3,553,308.23	3,558,905.64	5,597.41	394.01	0.00	1482 	
18/JUN/2013	09:46	3,558,905.64	3,559,506.73	601.09	42.12	0.00	1483 	
19/JUN/2013	00:11	3,559,506.73	3,562,361.63	2,854.90	199.87	0.00	1484 	
TOTALES	 	 	(158) Cierres Z	B/. 523,102.59	36,063.67	0.00	
	 	 	Promedio	B/. 3,310.78	 	
