DEPTO,ENVASE,PRODUCTO_VENTA,PRECIO_VENTA,DEPT_INV,ARTICULO_INVENT,COSTO_UNIT,CANT,COSTO_PORCION,CONSUMO,
LOS NACHOS,Sin Envase,NACHOS DE CHORIZO,14,ESENCIAS,OREGANO,0.0082,0.091,7.46199984848499E-04,GRAMOS
LOS NACHOS,Sin Envase,NACHO NORTENO DE POLLO,14,QUESOS / LECHE,CHEDAR,0.0066,4.545,0.02999700050354,GRAMOS
LOS NACHOS,Sin Envase,NACHO DE LA ABUELA,17,QUESOS / LECHE,CREMA CULTIVADA DE 5 LBS,0.0162,1.136,1.84032006025314E-02,GRAMOS
LOS NACHOS,Sin Envase,NACHO ORALE,14,ESENCIAS,OREGANO,0.0082,0.091,7.46199984848499E-04,GRAMOS
LOS NACHOS,Sin Envase,NACHO ORALE,14,QUESOS / LECHE,CREMA CULTIVADA DE 5 LBS,0.0162,1.136,1.84032006025314E-02,GRAMOS
LOS NACHOS,Sin Envase,NACHO NORTENO DE CHORIZO,14,QUESOS / LECHE,CREMA CULTIVADA DE 5 LBS,0.0162,1.136,1.84032006025314E-02,GRAMOS
LOS NACHOS,Sin Envase,NACHO NORTENO DE CHORIZO,14,ESENCIAS,OREGANO,0.0082,0.091,7.46199984848499E-04,GRAMOS
LOS NACHOS,Sin Envase,NACHO NORTENO DE CARNE,14,QUESOS / LECHE,CREMA CULTIVADA DE 5 LBS,0.0162,1.13,1.83059999227524E-02,GRAMOS
LOS NACHOS,Sin Envase,NACHOS DE CARNE,14,ESENCIAS,FRIJOLES NEGROS,0.0022,5.455,1.20009998321533E-02,GRAMOS
ENTRADAS,Sin Envase,TOSTADAS DE CARNE,5,VARIOS,TORTILLAS MEJICANAS (6/5 LBS),0.0001,1,0.0001,GRAMOS
ENTRADAS,Sin Envase,FUNDIDO CON CHORIZO,8.75,VARIOS,TOTOPOS - NACHOS,0.0011,22,0.0242,GRAMOS
ENTRADAS,Sin Envase,FUNDIDO CON CHORIZO,8.75,VEGETALES ,CEBOLLINA,0.002,0.045,9.00000035762787E-05,GRAMOS
ENTRADAS,Sin Envase,FUNDIDO CON POLLO,8.75,VEGETALES ,CEBOLLINA,0.002,0.045,9.00000035762787E-05,GRAMOS
ENTRADAS,Sin Envase,FUNDIDO CON POLLO,8.75,VARIOS,TOTOPOS - NACHOS,0.0011,22,0.0242,GRAMOS
ENTRADAS,Sin Envase,FUNDIDO CON CARNE,8.75,VARIOS,TOTOPOS - NACHOS,0.0011,22,0.0242,GRAMOS
ENTRADAS,Sin Envase,FUNDIDO CON CARNE,8.75,VEGETALES ,CEBOLLINA,0.002,0.045,9.00000035762787E-05,GRAMOS
ENTRADAS,Sin Envase,FUNDIDO PANCHO VILLA,10,VEGETALES ,CEBOLLINA,0.002,0.045,9.00000035762787E-05,GRAMOS
ENTRADAS,Sin Envase,FUNDIDO PANCHO VILLA,10,VARIOS,TOTOPOS - NACHOS,0.0011,22,0.0242,GRAMOS
ENCHILADAS,Sin Envase,ENCHI POLLO PASTOR,10.9,POLLOS o AVES,PECHUGA DE POLLO,0.0047,2.5,0.01175,GRAMOS
ENTRADAS,Sin Envase,FUNDIDO DE QUESO,7.75,VEGETALES ,CEBOLLINA,0.002,0.045,9.00000035762787E-05,GRAMOS
ENCHILADAS,Sin Envase,ENCHI POLLO PASTOR,10.9,VEGETALES ,CILANTRO,0.0013,0.045,5.85000023245811E-05,GRAMOS
FAJITAS,Sin Envase,FAJITA MAR Y TIERRA,11.5,CARNES,CARNE MOLIDA,0.0046,0.909,4.18139990568161E-03,GRAMOS
FAJITAS,Sin Envase,FAJITA MAR Y TIERRA,11.5,CARNES,PUERCO LISO,0.0052,0.909,4.72679989337921E-03,GRAMOS
FAJITAS,Sin Envase,FAJITA MAR Y TIERRA,11.5,MARISCOS,MARISCO MIXTO,0.0061,1.818,1.10897997498512E-02,GRAMOS
ENCHILADAS,Sin Envase,ENCHI DE LA ABUELA,12,VEGETALES ,CEBOLLA MORADA,0.002,0.182,3.63999992609024E-04,GRAMOS
ENCHILADAS,Sin Envase,ENCHI DE LA ABUELA,12,VEGETALES ,CILANTRO,0.0013,0.091,1.18299997597933E-04,GRAMOS
ENCHILADAS,Sin Envase,ENCHI DE LA ABUELA,12,VEGETALES ,LECHUGAS,0.0013,0.909,1.1816999733448E-03,GRAMOS
ENCHILADAS,Sin Envase,ENCHI DE LA ABUELA,12,QUESOS / LECHE,CHEDAR,0.0066,0.682,4.50119987726212E-03,GRAMOS
ENCHILADAS,Sin Envase,ENCHI DE LA ABUELA,12,QUESOS / LECHE,MONTERREY JACK,0.0066,2.727,1.79981999874115E-02,GRAMOS
LOS NACHOS,Sin Envase,NACHO NORTENO DE POLLO,14,ESENCIAS,OREGANO,0.0082,0.091,7.46199984848499E-04,GRAMOS
ENTRADAS,Sin Envase,FUNDIDO DE QUESO,7.75,VARIOS,TOTOPOS - NACHOS,0.0011,22,0.0242,GRAMOS
QUESADILLAS,Sin Envase,QUESADILLA QUESO,7.5,VEGETALES ,ZANAHORIA,0.001,0.273,2.73000001907349E-04,GRAMOS
LOS NACHOS,Sin Envase,NACHO NORTENO DE CARNE,14,ESENCIAS,OREGANO,0.0082,0.091,7.46199984848499E-04,GRAMOS
FLAUTAS,Sin Envase,FLAUTAS PANCHO VILLA,12.5,CARNES,CARNE MOLIDA,0.0046,1.818,8.36279981136322E-03,GRAMOS
FLAUTAS,Sin Envase,FLAUTA CARNE,10,CARNES,CARNE MOLIDA,0.0046,3.636,1.67255996227264E-02,GRAMOS
FLAUTAS,Sin Envase,FLAUTA CHORIZO,10,CARNES,CHORIZO MEJICANO,0.0067,3.636,2.43611994504929E-02,GRAMOS
FLAUTAS,Sin Envase,FLAUTA POLLO,10,POLLOS o AVES,PECHUGA DE POLLO,0.0047,3.636,1.70891996145248E-02,GRAMOS
QUESADILLAS,Sin Envase,QUESADILLA SINCRONIZADA,8,QUESOS / LECHE,MONTERREY JACK,0.0066,1.363,8.99580023288727E-03,GRAMOS
QUESADILLAS,Sin Envase,QUESADILLA GRINGA,8,VEGETALES ,CILANTRO,0.0013,0.136,1.76800009608269E-04,GRAMOS
QUESADILLAS,Sin Envase,QUESADILLA GRINGA,8,VEGETALES ,PIÑA,0.0013,0.909,1.1816999733448E-03,GRAMOS
FLAUTAS,Sin Envase,FLAUTAS PANCHO VILLA,12.5,CARNES,CHORIZO MEJICANO,0.0067,1.818,1.21805997252464E-02,GRAMOS
QUESADILLAS,Sin Envase,QUESADILLA PAPAS CHORIZO,8,CARNES,CHORIZO MEJICANO,0.0067,1.363,9.13210023641586E-03,GRAMOS
FLAUTAS,Sin Envase,FLAUTAS PANCHO VILLA,12.5,VEGETALES ,LECHUGAS,0.0013,0.909,1.1816999733448E-03,GRAMOS
QUESADILLAS,Sin Envase,QUESADILLA QUESO,7.5,VEGETALES ,CEBOLLA MORADA,0.002,0.181,3.61999988555908E-04,GRAMOS
QUESADILLAS,Sin Envase,QUESADILLA QUESO,7.5,QUESOS / LECHE,MONTERREY JACK,0.0066,1.818,1.19987997293472E-02,GRAMOS
TACOS,Sin Envase,TACOS DE LOMITO,11,VEGETALES ,ZANAHORIA,0.001,0.273,2.73000001907349E-04,GRAMOS
TACOS,Sin Envase,TACOS DE LOMITO,11,VEGETALES ,CEBOLLA MORADA,0.002,0.181,3.61999988555908E-04,GRAMOS
TACOS,Sin Envase,TACOS DE FILETE,10,VEGETALES ,ZANAHORIA,0.001,0.273,2.73000001907349E-04,GRAMOS
TACOS,Sin Envase,TACOS DE FILETE,10,VEGETALES ,CEBOLLA MORADA,0.002,0.181,3.61999988555908E-04,GRAMOS
TACOS,Sin Envase,TACOS DE FILETE,10,CARNES,FILETE,0.0132,4.091,5.40012010574341E-02,GRAMOS
TACOS,Sin Envase,TACOS CANTINFLAS,10,VEGETALES ,ZANAHORIA,0.001,0.273,2.73000001907349E-04,GRAMOS
TACOS,Sin Envase,TACOS CANTINFLAS,10,VEGETALES ,CEBOLLA MORADA,0.002,0.364,7.27999985218048E-04,GRAMOS
QUESADILLAS,Sin Envase,QUESADILLA GRINGA,8,ESENCIAS,ACHIOTE,0.0012,0.227,2.72399997711182E-04,GRAMOS
ARROZ A LA MEXICANA,Sin Envase,ARROZ CON POLLO,8,POLLOS o AVES,PECHUGA DE POLLO,0.0047,1.363,6.40610016584396E-03,GRAMOS
ENTRADAS,Sin Envase,CAZUELA AZTECA CARNE,10,VARIOS,TOTOPOS - NACHOS,0.0011,22,0.0242,GRAMOS
CARNES MEXICANAS,Sin Envase,LOMITO AL TOMATE,17.5,CARNES,CHULETA CON HUESO,0.0046,5.909,2.71813996315002E-02,GRAMOS
CARNES MEXICANAS,Sin Envase,CHULETA TEMPIQUENA,17.5,CARNES,CHULETA,0.0047,5.909,2.77722996234894E-02,GRAMOS
LOS ALAMBRES,Sin Envase,ALAMBRE DE LA ABUELA,12.5,QUESOS / LECHE,CREMA CULTIVADA DE 5 LBS,0.0162,0.136,2.20320011973381E-03,GRAMOS
LOS ALAMBRES,Sin Envase,ALAMBRE DE LA ABUELA,12.5,ESENCIAS,OREGANO,0.0082,0.045,3.69000014662743E-04,GRAMOS
FLAUTAS,Sin Envase,FLAUTAS PANCHO VILLA,12.5,QUESOS / LECHE,QUESO FRESCO,0.0066,0.682,4.50119987726212E-03,GRAMOS
FLAUTAS,Sin Envase,FLAUTA CARNE,10,QUESOS / LECHE,QUESO FRESCO,0.0066,1.136,7.49760024547577E-03,GRAMOS
FLAUTAS,Sin Envase,FLAUTA CHORIZO,10,QUESOS / LECHE,QUESO FRESCO,0.0066,1.136,7.49760024547577E-03,GRAMOS
FLAUTAS,Sin Envase,FLAUTAS PANCHO VILLA,12.5,POLLOS o AVES,PECHUGA DE POLLO,0.0047,1.818,8.54459980726242E-03,GRAMOS
QUESADILLAS,Sin Envase,QUESADILLA GRINGA,8,CARNES,PUERCO LISO,0.0052,1.818,9.45359978675842E-03,GRAMOS
LOS NACHOS,Sin Envase,NACHO NORTENO DE POLLO,14,QUESOS / LECHE,CREMA CULTIVADA DE 5 LBS,0.0162,1.136,1.84032006025314E-02,GRAMOS
ARROZ A LA MEXICANA,Sin Envase,ARROZ CON CHORIZO,8,VEGETALES ,CILANTRO,0.0013,0.045,5.85000023245811E-05,GRAMOS
